FECHA;ADDRESS;CANTIDAD BUSD
2021-11-17;0x2ab03d0bdbb64ff44394448ab371e068b677fa73;100
2021-11-17;0xde9168bd4ebf74d29ab0512e8d3c0e73d5756749;100
2021-11-17;0xde9168bd4ebf74d29ab0512e8d3c0e73d5756749;100
2021-11-17;0xda35769deb6e6327db5802808a41fd97aa8acb70;1664
2021-11-17;0xe45e6aff56f57ff29f0427acefb7fea82625a669;3395
2021-11-17;0x327636dd0189fe0a1bc82feb34e4733dd117d778;500
2021-11-17;0x14c80289b93e3cccaa716dbf1e403dc3a3a228ae;300
2021-11-17;0xeb6208552c4ba9506b278d4f46b79780784bc485;500
2021-11-17;0x676d81c2f882ce783ad5d4f618c60ebcef9519db;1214
2021-11-17;0x8e682ee1f6fb703daa8d53ec3e5bf932300b6f61;8606
2021-11-17;0x80be288f09764c35140f70e7167e1494b0df015a;500
2021-11-17;0xddefb6166643657187c587237c3868f0fb3e37de;10214
2021-11-17;0x4b1f5f4a86102ae23d6a859c6da2bd05a787442e;3000
2021-11-17;0xd858a91ce7f37d5da9fea1aed961de668d5c790f;10200
2021-11-17;0xb90022b376c882b98e5c23de33d5ef03081b639c;13000
2021-11-17;0x6cb5cc8b65a00bd36380aa370b3ee4a8f498a30e;2600
2021-11-17;0x7d8718faba875b07a627592ecaff2fd717266b28;2500
2021-11-17;0xbd8cbe8ed878658bb2767b910a23a02dd6d7a23e;3351
2021-11-17;0x1048e7c29a24da584f6317248466f9c7cbd87558;562
2021-11-17;0x19852f1ecaf297245a2155323d0ab260516d74ab;481
2021-11-17;0x5cdbc5f5cb24454a2ca7aad35450fa00969c2f94;240
2021-11-17;0x7421698e7e607d399e5a5d7a727886d39a6432f3;2000
2021-11-17;0xcaeb246e8060194b25518e37a006b1e4a64a2ba5;2000
2021-11-17;0xd858a91ce7f37d5da9fea1aed961de668d5c790f;700
2021-11-17;0x73ab142ec606896083eb3278435f8346c93b0c55;2000
2021-11-17;0xe0cd94950fa7fbf33fb4a52de665bc7e3a189d73;187
2021-11-17;0x6a2c8fe8baf73e0b02442726a35717f55bf5778f;574
2021-11-17;0x07873a312142bb01e47923103c73efb4e0b9fef4;500
2021-11-17;0x38e1bdecf9607baee873c0822dc705cfb09902da;5000
2021-11-17;0x9fd7237041c7f94a9e7c6577d3f3a8223d94d6e7;100
2021-11-17;0x19852f1ecaf297245a2155323d0ab260516d74ab;222
2021-11-17;0xa4a3ded7e9d86325d167d5c03f82f61f170025c2;198
2021-11-17;0x5e7b7c36960beed7503f9c725b9faeac8755b0dc;100
2021-11-17;0x842bb4b99c9fb93c2c238a81de4496b1faa71855;118
2021-11-17;0xf40577a35cbe74a8b3a6172820e4235bcade2924;1000
2021-11-17;0x75dcf38e95f2adaf757bd4f10c2b7b7a426a40cb;532
2021-11-17;0x84c7ebef0315c56b99d05536ea2b666446b37705;16000
2021-11-17;0x9e65e3bd37c0b1b4de3193c6c29e488c057c5942;2000
2021-11-17;0xaad0ce07848158362dcb66e4a167cf47254adeea;400
2021-11-17;0xdffdad62bc8e7f671643ef89a21d963d7712b246;339
2021-11-17;0x0389ab3a38a3fc8f6a0e96806908e386d3f9be7f;100
2021-11-17;0xddefb6166643657187c587237c3868f0fb3e37de;1258
2021-11-17;0xb724c63eaea41e7e6c95101da8a8b42c7491e640;1505
2021-11-17;0x92b531546b26b67c672a39422b32e6449ca44a4d;1110
2021-11-17;0xf48cef0011da0fbc3cb3caf0928a1609bed44c71;339
2021-11-17;0x45d97d18cdf769c0f8cbbea1ecc6ad535790587c;996
2021-11-17;0x96d5b30ed6e897bf9ebe398ce86b2b4238b70c6f;15344
2021-11-17;0xd9daf5f95d0f3287450dfb2cda9eb27896252599;126
2021-11-17;0xeb1c50f4c3a3d6a30a4192252ccb3ed8d2677ccf;911
2021-11-17;0xb36d3f6a212445a583e90fe11759a1aa0c956c47;16000
2021-11-17;0x5291daac6fd236027e0bc50bd78842490c5e35c4;4790
2021-11-17;0x61d253653b67a9d736a7cb9ebf745f78b8e9a124;16000
